time,x,y,z,vx,vy,vz,radius,in_late_averaging_window
8.500000000000000000e+00,6.880562282163302790e-01,3.776990123441079650e-01,1.570858843776432590e-01,2.316227376724523945e-01,1.352749410001999331e-02,9.153337202456233307e-03,5.000000000000000278e-02,1.000000000000000000e+00
8.599999999999999645e+00,7.103180597086340420e-01,3.794419607836100883e-01,1.594436133676068457e-01,2.359813818115766015e-01,2.002796442615272302e-02,2.401191666286304691e-02,5.000000000000000278e-02,1.000000000000000000e+00
8.700000000000001066e+00,7.362723429247480800e-01,3.808757496779799356e-01,1.627160942579911340e-01,2.653221599011279519e-01,7.209105134522867178e-03,4.163446187369276158e-02,5.000000000000000278e-02,1.000000000000000000e+00
8.800000000000000711e+00,7.613304132840774674e-01,3.824797881421428403e-01,1.670012403616250030e-01,2.578991627578466894e-01,8.956594009131766537e-03,5.624931452915381963e-02,5.000000000000000278e-02,1.000000000000000000e+00
8.900000000000000355e+00,7.881271753476064568e-01,3.842385228342204417e-01,1.730734853553880792e-01,2.626656814122115824e-01,2.919959486705575938e-02,6.288788391351746165e-02,5.000000000000000278e-02,1.000000000000000000e+00
9.000000000000000000e+00,8.152225205441547828e-01,3.859646814939072801e-01,1.789232438497634359e-01,2.743753780818735111e-01,1.977562208823211310e-03,4.665062265654841556e-02,5.000000000000000278e-02,1.000000000000000000e+00
9.099999999999999645e+00,8.392621516352738453e-01,3.870043866665124344e-01,1.838280065731200952e-01,2.552591525944296613e-01,6.145487189551044824e-03,5.217421700202889978e-02,5.000000000000000278e-02,1.000000000000000000e+00
9.200000000000001066e+00,8.666527042567500061e-01,3.876154460989753581e-01,1.878243487563626413e-01,2.780299259783936550e-01,2.433847049148457273e-03,3.755264889864484007e-02,5.000000000000000278e-02,1.000000000000000000e+00
9.300000000000000711e+00,8.983121558516288241e-01,3.868964730589841694e-01,1.914339266371306025e-01,3.358871507468546569e-01,-1.981190993042187404e-02,4.051398884550223845e-02,5.000000000000000278e-02,1.000000000000000000e+00
9.400000000000000355e+00,9.300032259115689204e-01,3.864392414520854135e-01,1.949999375281332992e-01,3.019531559641521756e-01,-3.155830092490129885e-02,3.418967842576425137e-02,5.000000000000000278e-02,1.000000000000000000e+00
9.500000000000000000e+00,9.604517372881231640e-01,3.807167757076593828e-01,1.976496505285941785e-01,3.205969968792095059e-01,-6.309237595833135093e-02,2.371387899289032278e-02,5.000000000000000278e-02,1.000000000000000000e+00
9.600000000000001421e+00,9.972812442789025233e-01,3.730317030666827072e-01,1.974683187317912980e-01,4.181970609550800244e-01,-7.704558719428458713e-02,-2.193825053807418966e-03,5.000000000000000278e-02,1.000000000000000000e+00
9.700000000000001066e+00,1.094550647692820733e-01,3.247114330786874392e-01,1.357122425410474675e-01,8.592824001544259183e-01,-3.393322605398912395e-01,-4.267976378780706237e-01,5.000000000000000278e-02,1.000000000000000000e+00
9.800000000000000711e+00,1.767105230280504036e-01,3.016927703918179104e-01,1.084293173598757376e-01,5.752926486867304678e-01,-1.717346755558333826e-01,-1.250867796772013041e-01,5.000000000000000278e-02,1.000000000000000000e+00
9.900000000000000355e+00,2.209731575189586572e-01,2.921744831409885945e-01,1.027946820666683636e-01,4.086409537004354608e-01,-6.422695671643527393e-02,-8.255738818380632671e-03,5.000000000000000278e-02,1.000000000000000000e+00
1.000000000000000000e+01,2.604841831605926306e-01,2.848094220225270146e-01,1.039747838745625763e-01,3.187188752051046681e-01,-7.030858051588520508e-02,8.338095815472913730e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.010000000000000142e+01,2.917261687011387106e-01,2.780229349040312936e-01,1.127974677326427227e-01,3.195123564983866626e-01,-6.205104447201605783e-02,7.958017399818051452e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.020000000000000107e+01,3.219566044999941923e-01,2.724924123824276623e-01,1.216732347329946146e-01,2.890836922667830433e-01,-6.016339358234961548e-02,1.028174086622002520e-01,5.000000000000000278e-02,1.000000000000000000e+00
