time,x_wrapped,s_unwrapped,y,z,vx,vy,vz,radius,in_late_window,in_velocity_fit_window,vx_linear_fit
6.600000000000000533e+00,1.040941715683899593e-01,7.309541981424106716e+00,6.402689009876290083e-01,3.249411715068165618e-01,3.162951101713392443e+00,-1.075681242010844141e-01,5.312845240291076687e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.491844579872907417e+00
6.700000000000000178e+00,7.672002986949519876e-01,6.972648108550668411e+00,6.625782411290572771e-01,3.518958170071213587e-01,2.941758113505966943e+00,6.287609021073646554e-02,4.553366898254176953e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.518142743763734259e+00
6.800000000000000711e+00,2.568226759382817859e-01,7.462270485793998098e+00,6.795329535908023466e-01,3.344458890297271614e-01,2.992995108753232270e+00,4.009803377490413212e-03,-1.434779487824445199e-01,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.544440907654561101e+00
6.900000000000000355e+00,7.978539069232962744e-01,7.003301716779012587e+00,6.439379272411309696e-01,3.096040775610856000e-01,3.361159644621224629e+00,1.057386585488712949e-01,-1.001304005890146648e-01,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.570739071545387944e+00
7.000000000000000000e+00,3.973547213394711397e-01,6.602802531195187896e+00,6.698027055100792548e-01,3.389209603199813126e-01,2.973188498111250855e+00,-9.989494488292276209e-02,3.106436048632575035e-04,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.597037235436214786e+00
7.100000000000000533e+00,7.382770244935330517e-01,6.943724834349249697e+00,6.578749759575938105e-01,3.732920747463850386e-01,2.675259720360046778e+00,7.662914236005934077e-02,7.331101591244906790e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.623335399327041628e+00
7.200000000000000178e+00,2.573829765860538021e-01,6.462830786441770670e+00,6.799118175937394204e-01,3.760571442407688592e-01,2.951036279037156707e+00,-1.530323432757647595e-01,-8.573581024318953359e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.649633563217868470e+00
7.300000000000000711e+00,7.814330289601677526e-01,5.986880838815884509e+00,6.918177475097264661e-01,3.639268699011636854e-01,3.278579871619957231e+00,4.520497725595690186e-02,2.087506450533361049e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.675931727108695757e+00
7.400000000000000355e+00,4.718768782912231008e-01,5.677324688146939913e+00,7.175058197086783274e-01,3.954688739352404392e-01,3.071000289285038320e+00,-1.116258731986146252e-01,7.851338796233821304e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.702229890999522599e+00
7.500000000000000000e+00,9.993954965247224820e-01,5.204843306380439572e+00,6.740906526964172141e-01,3.694266239624440784e-01,3.376622152070704708e+00,-5.241332711770779751e-02,-8.448730989736398522e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.728528054890348997e+00
7.600000000000000533e+00,5.202749717823297315e-01,4.725722781638046932e+00,6.776087185168055971e-01,3.511165689697924863e-01,3.478162969121794568e+00,7.943245332923240531e-02,3.061583149908648702e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.754826218781176284e+00
7.700000000000000178e+00,3.238258866394173041e-01,4.529273696495134338e+00,7.125138370277465105e-01,3.707801692141409200e-01,3.505499872620978508e+00,-9.070494210468635701e-03,-9.905718276877609196e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.781124382672003126e+00
7.800000000000000711e+00,9.495392426736269931e-01,4.154987052529343750e+00,6.814980392781256890e-01,3.482407071547099497e-01,3.286792387702786034e+00,-1.244554853435530378e-01,1.128384972999800090e-01,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.807422546562829968e+00
7.900000000000000355e+00,4.123582000053164220e-01,4.617806009861032734e+00,7.337840993661521871e-01,3.595183029725392276e-01,3.202320935894635401e+00,1.768897811447633639e-01,-4.089846457472252894e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.833720710453656810e+00
8.000000000000000000e+00,8.520661061821486193e-01,5.057513916037865265e+00,7.156394085464578003e-01,3.357608393711469241e-01,3.373316184261674344e+00,-3.195504115139330414e-02,-4.384947381565098418e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.860018874344483653e+00
8.099999999999999645e+00,4.649194858303399291e-01,4.670367295686056686e+00,7.350002103521282582e-01,3.322244893952530642e-01,3.261740376588538215e+00,1.337802436866308564e-01,7.476503561981201473e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.886317038235310495e+00
8.200000000000001066e+00,1.653310991185338308e-01,4.370778908974250143e+00,7.182584710157667862e-01,3.288912515099282619e-01,2.914288310418798211e+00,6.202588074714625310e-02,-1.650067377750310815e-01,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.912615202126137781e+00
8.300000000000000711e+00,7.170973126655233454e-01,3.922545122521239769e+00,7.402035342586816835e-01,3.080547264340036673e-01,2.723681691918616643e+00,-8.431698163516319899e-02,-8.686355312567521636e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.938913366016964623e+00
8.400000000000000355e+00,2.028270574087929767e-01,4.408274867264509567e+00,7.206537427432154752e-01,2.693893083894158269e-01,3.194558695770969070e+00,5.178398978402706798e-02,-2.956573577639579758e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.965211529907791466e+00
8.500000000000000000e+00,8.700266576019924925e-01,4.075474467457708805e+00,7.198549778378693365e-01,3.150054033287399413e-01,3.220052192078163955e+00,6.263924392592773449e-02,4.836151131348694066e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.991509693798617864e+00
8.599999999999999645e+00,4.733453165537416241e-01,3.678793126409457770e+00,7.488906082894091210e-01,2.989651731805811896e-01,3.669014528768435479e+00,8.711028550255524305e-02,-2.415416329635517584e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.017807857689444706e+00
8.700000000000001066e+00,1.088918450992557574e-01,3.314339654954971959e+00,7.847022610565793643e-01,2.962242012444984973e-01,2.789576165180426504e+00,-8.429524461326434737e-02,4.411659616930577871e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.044106021580271992e+00
8.800000000000000711e+00,7.276501748256185564e-01,2.933097984681334758e+00,7.735966774004292557e-01,2.875434838068218202e-01,3.291482083877510068e+00,-1.578963576592084736e-02,-5.603668803845824470e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.070404185471098835e+00
8.900000000000000355e+00,5.090697871540412756e-01,2.714517597009757477e+00,7.819546143118391024e-01,3.061424546106321642e-01,3.368785659655534115e+00,1.132170956548841576e-02,6.609012732324874573e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.096702349361925677e+00
9.000000000000000000e+00,3.238382841599817263e-01,2.529286094015697817e+00,7.774973157542538482e-01,2.949564256224775916e-01,3.015854869666758198e+00,8.392670320671420658e-02,-4.115325240867686446e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.123000513252752519e+00
9.099999999999999645e+00,1.466252499561097045e-01,2.352073059811825573e+00,7.764316780363329507e-01,3.080130521292876455e-01,3.192309455546285424e+00,-8.724328609249093480e-02,-2.098894674788372161e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.149298677143579361e+00
